0;0;t;0,4682;-0,4877;-0,2933
0;0;l;0,4682;-0,4877;-0,2933
0;0,1;t;0,4682;-0,4877;-0,2933
0;0,1;l;0,4682;-0,4877;-0,2933
0;0,2;t;0,4682;-0,4877;-0,2933
0;0,2;l;0,4682;-0,4877;-0,2933
0;0,5;t;0,4682;-0,4877;-0,2933
0;0,5;l;0,4682;-0,4877;-0,2933
0;2;t;0,4682;-0,4877;-0,2933
0;2;l;0,4682;-0,4877;-0,2933
0,03;0;t;0,4382;-0,4577;-0,2633
0,03;0;l;0,4382;-0,4577;-0,2633
0,03;0,1;t;0,4382;-0,4577;-0,2633
0,03;0,1;l;0,4382;-0,4577;-0,2633
0,03;0,2;t;0,4382;-0,4577;-0,2633
0,03;0,2;l;0,4382;-0,4577;-0,2633
0,03;0,5;t;0,4382;-0,4577;-0,2633
0,03;0,5;l;0,4382;-0,4577;-0,2633
0,03;2;t;0,4382;-0,4577;-0,2633
0,03;2;l;0,4382;-0,4577;-0,2633
0,1;0;t;0,3682;-0,3877;-0,1933
0,1;0;l;0,3682;-0,3877;-0,1933
0,1;0,1;t;0,3682;-0,3877;-0,1933
0,1;0,1;l;0,3682;-0,3877;-0,1933
0,1;0,2;t;0,3682;-0,3877;-0,2000
0,1;0,2;l;0,3682;-0,3877;-0,2000
0,1;0,5;t;0,3682;-0,3877;-0,2128
0,1;0,5;l;0,3682;-0,3877;-0,2128
0,1;2;t;0,3682;-0,3877;-0,2128
0,1;2;l;0,3682;-0,3877;-0,2128
0,5;0;t;0,3128;-0,4486;0,0000
0,5;0;l;0,3128;-0,4486;0,0000
0,5;0,1;t;0,2128;-0,3486;-0,1000
0,5;0,1;l;0,2128;-0,3486;-0,1000
0,5;0,2;t;0,1128;0,3553;0,2000
0,5;0,2;l;0,1128;0,3553;0,2000
0,5;0,5;t;0,0000;0,4682;0,3128
0,5;0,5;l;0,0000;0,4682;0,3128
0,5;2;t;0,0000;0,4682;0,3128
0,5;2;l;0,0000;0,4682;0,3128
2;0;t;0,3128;-0,4486;0,0000
2;0;l;0,3128;-0,4486;0,0000
2;0,1;t;0,2128;-0,3486;-0,1000
2;0,1;l;0,2128;-0,3486;-0,1000
2;0,2;t;0,1128;0,3553;0,2000
2;0,2;l;0,1128;0,3553;0,2000
2;0,5;t;0,0000;0,4682;0,3128
2;0,5;l;0,0000;0,4682;0,3128
2;2;t;0,0000;0,4682;0,3128
2;2;l;0,0000;0,4682;0,3128
